ID,Video Title,Views,Likes,Dislikes,Clickbait,Transcript
LUtVmVBOf94,Battlefield 2042 NEW Gameplay and Details!,1243918,45419,1406,0,"New gameplay footage from Battlefield 2042, featuring four specialists: McKay, Maria, Boris, and Casper, each with unique abilities and traits. Additionally, it introduces Battlefield Mobile, highlighting its features like classic maps, vehicles, and first-person gameplay, emphasizing its free-to-play model with cosmetic-only microtransactions and upcoming playtests in select regions."
3Fus4Xb_TLg,The Wheel Of Time Official Teaser Trailer Prime Video,4457949,61444,3576,0,Official Video
LLQNiiZgz9A,Yellowstone Season 4 Official Trailer Paramount Network,1950445,6309,278,0,Official Video
r1QJ08dsIKA,Rick and Morty S5E9 Cold Open Morty Cleans Up Rick's Mess adult swim,1734668,37655,294,0,Official Video
LEt_PaG4TCY,Clash Royale Enter the EXECUTIONER'S KITCHEN! (New Season! Balance Changes!),1427958,39725,990,0,Official Video
7f7ReYaqV6I,Carlos Alcaraz vs Stefanos Tsitsipas Highlights 2021 US Open Round 3,1411523,16551,444,0,Official Video
5wvATZb7-Eo,Exclusive Images of deserted Kabul airport hours after US withdrawal FRANCE 24 English,781701,6179,483,0,Official Video
uiQ4c1UNUps,Discord's You Laugh You Lose 4 YLYL,374653,39200,250,0,"Participants join a laughter challenge, aiming not to laugh at jokes. The host introduces jokes, leading to occasional chuckles and laughter, with moments of comedic interactions and reactions among friends and participants."
81mXAkFEkMs,10 Real Life Giants You Won't Believe Exist,6890718,15222,2858,1,"Real-life giants, including individuals like Igor Vovkovinskiy, Rumeysa Gelgi, and Zhang Zhang Kai."
3breWY0OYYg,I thought this golf club was a HUGE GIMMICK but....,296621,6281,71,0,"Reviews a unique hybrid wedge designed for short shots around the green, boasting a hollow head and a wide sole aimed at reducing mishits. Despite initial skepticism, the wedge proves effective for minimizing duff shots, though its unconventional design and difficulty in distance control suggest it's best suited for beginners or those struggling with chipping."
cSScHSu-4dw,Rick and Morty is Real.,583682,12996,1006,0,"Rick and Morty pays homage to its inspiration, Back to the Future, with a cameo from Christopher Lloyd as Rick Sanchez in a new teaser celebrating the season five finale. This live-action adaptation excites fans, especially given Lloyd's admiration for the show and his iconic role as Dr. Emmett Brown."
l9VfMBczLJs,"Paul Heyman gives Roman Reigns a message from Brock Lesnar SmackDown, Sept. 3, 2021",1948490,55238,1037,0,"Roman Reigns is interrupted during a live TV segment with Paul Heyman by news of Brock Lesnar's impending appearance at Madison Square Garden. Heyman reveals Lesnar called him, sparking intrigue about Lesnar's whereabouts and Reigns' response to the unexpected challenge."
HuQfyK26npU,"6 YouTubers Who FORGOT THEY WERE RECORDING! (DanTDM, Crainer, Tfue, Pokimane, Morgz, FaZe H1ghSky1)",197718,15177,512,1,"Six YouTubers who had embarrassing moments while recording. It includes instances like TeePee forgetting to end his livestream and changing clothes while still live, and Fangs falling asleep and then off a chair during her FIFA livestream. Other moments include Pokimane accidentally bending over in front of her camera and DanTDM getting scared by his wife on camera. Each segment shows their reactions to realizing they were still recording, adding humor and embarrassment to their content."
bi12zACCTak,The Scariest and Most Interesting Pranks in the World. You Must See Them!,7969526,121749,4372,1,Some of the most inventive social pranks ever pulled.
NkE0AMGzpJY,"Last To Leave $800,000 Island Keeps It",102918727,3438692,62348,1,"Ten contestants compete in various challenges to win an entire island, with eliminations based on both physical tasks and social strategy."
9NQQKNAwaPk,10 Mythical CREATURES That Actually Existed,2089601,46750,1954,1,"ten mythical creatures that had real-life counterparts, including dire wolves, unicorns (Siberian unicorns), Komodo dragons, bunyips (based on diprotodon remains), gorillas (first discovered in 1847), basilisks (potentially inspired by cobras), platypuses (initially thought a hoax), Cyclops (based on dwarf elephant skulls), Kraken (possibly giant squids), and hobbits (small human-like species found in 2003)."
WMgie1MqwJM,Testing Level 100 Clickbait Minecraft Hacks!,966850,26354,828,0,"Testing various Minecraft myths, confirming some, like climbing powdered snow with leather boots and creating infinite lightning with tridents and pistons, while debunking others, such as goats headbutting armor stands. It explores unconventional techniques like using candles to reveal diamonds and smelting wet sponges into water buckets, showcasing surprising interactions within the game mechanics."
s7MTM4BKZ_E,Why Anecdotes Trump Data,980055,36060,1347,0,"The challenges of communicating scientific findings versus compelling narratives, using examples like the ""bystander effect"" experiment and contrasting it with the misconceptions around Zika virus and larvicide. He argues that while stories captivate, scientific rigor demands repetition and statistical analysis, highlighting a tension between effective communication and scientific accuracy in media like Mythbusters and Veritasium."
HpvHiNf8z3w,Official Moving Day!,656606,41401,1706,0,"The couple is overwhelmed by the transition to their new home in Colorado, expressing excitement about the unique features and the welcoming neighborhood. They look forward to settling in, buying new furniture, and attending a welcoming party hosted by the previous owners, who share a personal connection. They also recount a dramatic moment of being locked out during a tornado warning."
x_qSdnjhbw4,Building an UNBREAKABLE TESSERACT CUBE!,1687124,81479,1474,0,"The creation of an advanced unbreakable box, featuring intricate design processes and material testing, culminating in a sturdy cube resistant to extreme physical challenges, including tests by athletes, showcasing its durability and complexity."
RxN33FlwOYE,Notre Dame Fighting Irish at Florida State Seminoles Full Game Highlights,190217,2183,88,0,"The game between Notre Dame and Florida State featured thrilling moments including key touchdowns, interceptions, and a back-and-forth battle culminating in Notre Dame's victory in Tallahassee."
WQon-XHvny8,OFFICIAL SCIENTIST Mod in Among Us,3607286,238848,3356,0,"The gameplay revolves around an evil scientist role in a modded version of Among Us, featuring traps, experiments, and mind control. Players navigate tasks and avoid deadly traps while trying to survive or escape the scientist's experiments, adding a chaotic twist to the usual gameplay dynamics of the popular game."
aUWduIWPvzU,"Food Theory M&Ms Melt In Your Hand, LIE To Your Face!",1479613,90227,1704,0,"the iconic slogan ""Melts in your mouth, not in your hand"" for M&M's is scientifically inaccurate. While the candy shell doesn't melt due to its composition, the chocolate inside can indeed melt in your hand, debunking the slogan's claim entirely."
N88OE2ZCHBM,Why Millennials Are Leaving Six-Figure Tech Jobs,1113339,18997,1040,1,"The lavish perks and high salaries in the tech industry, highlighting how these incentives aim to attract and retain top talent despite issues like burnout and stagnation. Former tech workers discuss their reasons for leaving, citing stress, lack of growth opportunities, and a desire for more meaningful work, with some opting to start their own ventures outside the tech bubble."
iQuiaWysdsI,Building a 5 Acre Pond! (Hurricane Update),370869,18603,176,0,"The ongoing construction and development of a five-acre pond, detailing the addition of structures like tunnels and brush piles to attract bait fish. Amid preparations for Hurricane Ida's rain, erosion control measures were implemented, and the subsequent heavy rainfall tested these measures, resulting in minor erosion but overall successful pond protection. Future plans include marking underwater structures with buoys and continuing development such as building docks and establishing power supply to certain areas of the pond."
R84W2hbmaKk,The Truth About Making Cartoons,5334360,478899,3594,0,"The story discusses the unrealistic expectations some viewers have about the time and effort required to produce animated content, explaining the complex and time-consuming nature of animation. The creator shares insights into the animation process, the challenges artists face, and how animations often take years to complete. Additionally, the video promotes the creator's board game and upcoming tour."
iN3ttHug-BU,I've been Banned from Fortnite (I'm Sorry),22085620,875376,264117,1,"The story of a Fortnite player who has been permanently banned for using aimbot in videos, expressing regret and sorrow over the consequences, and facing the reality of not being able to play or create content for the game anymore."
WjKEAZWMzqs,12 Minutes... HOW CAN I SAVE MY BABY IN TWELVE MINUTES,4213438,467145,1502,0,"The story of a YouTube gamer playing the game ""12 Minutes"" involves the player character who must use limited time to prevent a series of tragic events. The game features interactive elements and a mysterious plot where the protagonist repeatedly experiences a 12-minute time loop, trying to unravel the secrets behind a murder accusation and a hidden pocket watch. Despite numerous attempts and creative strategies, the gamer struggles to find a solution, highlighting the game's complexity and the player's determination to succeed."
zgaqaxD70no,I Went Bald,5183657,390286,10842,1,"The story of a YouTuber getting a bald makeover from a professional makeup artist, using a plastic bald cap and makeup to create a realistic look, leads to mixed reactions from friends and family, and culminates in a prank where the YouTuber reveals the baldness is fake."
8Nc1u8Kh6IM,THIS LADY TRIED TO TAKE MY DOG!,24392403,475493,17757,1,"The story of Logan Paul's day in Colorado, featuring interactions with his dog Kong, checking out of a hotel, a guest judging spot on Top Chef, and attempting to train Kong, all with his signature humor and energy."
rXhGajRFLlY,Race Highlights 2021 Dutch Grand Prix,3868339,95877,1469,0,"The story of the Dutch Grand Prix at Zandvoort unfolds with Max Verstappen leading from start to finish, cheered on by his home crowd. Lewis Hamilton and Mercedes strategize but fall short, as Verstappen secures a dominant victory, celebrated with national pride and a thrilling atmosphere."
ZJUWqo2qn0s,"Last To Stop Eating McDonalds Wins $10,000 - Challenge",3078852,69213,24556,1,"The transcript details a challenge where Morgan attempts to eat McDonald's food non-stop to win $10,000, facing various hurdles including overeating, discomfort, and attempts by another participant to sabotage his effort by leaving only a disliked veggie burger for him to finish. Despite the struggles, Morgan perseveres through multiple hours of continuous eating before ultimately succumbing to the challenge's demands."
F_OOTBRjY18,Evolving The Biggest Army Possible To Win,389431,15702,194,0,"The transcript details a gameplay strategy where the speaker attempts to build a large army by strategically surrounding and attacking enemy forces, focusing on gaining stronger units like golems and grim reapers. Despite setbacks and losses, they gradually develop a formidable army, emphasizing tactics of careful positioning and unit management to dominate the game map."
XinZpehXLhk,The Dogs Go On a RV CAMPING TRIP!,211985,7386,88,0,"The transcript follows a family's RV trip adventure to the Gaspe Peninsula in Quebec, featuring humorous moments like switching to a larger RV secretly, encountering wildlife, bird watching, and enjoying outdoor activities such as hiking, canoeing, and fishing. They conclude their trip with a campfire and marshmallow roasting, highlighting their enjoyable getaway."
hxwpkM5w3Cc,I Got Hunted By The FBI,42724724,2005151,24646,1,"The transcript follows a group's pursuit of Jimmy, who sets up elaborate challenges for them to win $100,000, leading them through a series of obstacles including a maze, Walmart, a private island, and an NFL stadium, culminating in the winner being awarded a Tesla covered in fans' names."
e09xig209cQ,World's Tallest Elephant Toothpaste Volcano (I FINALLY DID IT!!),11493836,764886,9130,0,"The transcript follows Mark Rober's journey to create the ultimate surprise party, featuring an epic elephant toothpaste experiment"
Polrj_OuohE,Different types of Students during Lunch,296673,17721,278,0,"The transcript follows students' daily experiences in school, ranging from dealing with unexpected meals, classroom antics, lunchtime negotiations, and disciplinary actions, capturing the humorous and chaotic moments of school life."
V2jAwPkzzsw,Funniest Twitch LIVE STREAM Fails Ever !,17677110,385722,12672,1,"The video compiles various Twitch fails, including embarrassing moments, misunderstandings, dangerous activities, and accidents, highlighting the unpredictable nature of live streaming and the potential consequences of not paying attention or being irresponsible, ultimately urging viewers to prioritize safety and responsibility."
dmxXJqV59do,How To Win 1v2's,143480,8620,583,0,"The video demonstrates a gamer's strategic approach in a high-pressure moment in a game, anticipating opponents' tactics and executing a decisive move under intense circumstances to secure a victory."
sjXnU_jYGf8,How to Master the Zandvoort F1 Track! Nico Rosberg Dutch GP 2021,525063,19976,226,0,"The video discusses the challenging Zandvoort track in the Netherlands, highlighting its twists, braking techniques, and overtaking strategies. The speaker shares personal experiences from past races at the track, including a major crash, and emphasizes the importance of simulator practice for F1 drivers to adapt to new tracks. The video also includes a Q&A session covering topics like Spa's half points, driver preparation, fan influence, and predictions for the 2022 season."
EgkUEKt_qmA,APEX LEGENDS MAKES NO SENSE 3,338383,23061,277,0,"The video discusses various nonsensical aspects of Apex Legends, including lore inconsistencies, gameplay quirks like Lifeline's exclusive ability to open certain supply bins, and humorous observations such as Rampart's ability to carry Sheila during emotes but requiring a tripod for her ultimate. It concludes with an announcement of upcoming content related to game updates and community engagement through Twitch streams."
shmaAXmDEAw,Mysterious Cases Of Time Travel That Can't Be Explained,16452463,69490,20947,1,"The video explores various instances and photographs suggesting potential evidence of time travel, from celebrities resembling historical figures to peculiar anomalies like a purported cell phone in 1930s footage, sparking speculation and debate about the possibility of traversing through time."
Da_DgFQImns,Minecraft but Creepers beat the game for me,3959587,96936,2914,0,"The video showcases the player using a variety of enhanced creepers with unique abilities, such as lightning, black hole, and super creepers, to help beat Minecraft. The player recruits and upgrades these creepers to mine resources, fight enemies, and eventually take down the Ender Dragon with explosive results. Along the way, the player encounters various challenges and humorous situations while experimenting with the powerful new creeper abilities."
AF7GtSjo1Zs,Monstermax 1s New Replacement,2549399,98754,1858,0,"The video showcases the unveiling and exploration of a custom-built mud truck, dubbed Monster Max 2, with enthusiastic commentary on its features and modifications. The excitement is marred by unexpected mechanical issues during testing, leading to humorous yet costly repairs and reflections on the durability of the vehicle's components."
2L3qI7_xHeg,The FASTEST WORKERS in the World !,16537278,142209,5544,1,"The video showcases various individuals performing tasks with incredible speed and precision, ranging from making smoothies to packing items and even firefighting, demonstrating exceptional coordination and efficiency in their respective fields, ultimately leaving the viewer amazed and entertained by their remarkable skills."
jySqbJwKXb0,HE CAUGHT US...,25415525,82641,15552,1,"The vlog captures a day of casual activities, from preparing breakfast to shopping, pranking, and spending time at the beach, all while bantering and joking around with friends and family."
Y6Ii85FjwSQ,THE WORST DAY EVER!!,266809,14531,425,1,"The vlog covers three major announcements: the release of a new music video titled ""Only One"" on September 2nd, a new merchandise drop including a duffel bag and windbreaker, and plans for a sleep stream on Twitch featuring scare alerts."
qAqPB2Lzo-k,The MOST INSANE TikTok Hacks,398427,6616,896,0,"The YouTube video showcases various TikTok hacks including creating artistic metal designs, making edible slime, transforming Oreos into cake, using toothpaste to alter the texture of a tomato, and preparing unconventional snacks like Hot Cheetos cereal. It also explores tricks like preserving paintbrushes in the fridge and enhancing s'mores with melted chocolate inside marshmallows, concluding with McDonald's menu hacks and cup size experiments."
_Jul0ViWlp0,This Sphere is in Vanilla Minecraft,2115528,114074,1137,0,"The YouTuber attempts to create a spherical shape in Minecraft using various methods, starting with armor stands and progressing to minecarts, encountering challenges with lag and command block precision, ultimately achieving a spherical structure through manual coding despite technical difficulties."
B6p8N8sRKDI,My Ex Girlfriend Called Me... (We Picked up),2676436,130599,57359,1,"The YouTuber discusses reconnecting with his ex, who is upset over his new vlog featuring another girl, despite their breakup seven months ago. He captures the unexpected call from his ex, reflecting on the situation in real-time while emphasizing his focus on moving forward with his content and life."
iYzFC6dugQk,I Got Hunted By 1000 Chickens!,2187444,130910,1966,0,"The YouTuber in the video creates content where they and their friends attempt to beat Minecraft while being pursued by a thousand aggressive chickens, encountering challenges like surviving in a hostile environment and navigating through various dangers to achieve their goal."
bcQu8zXPh-w,I've been thinking of retiring.,2569670,428488,3659,0,"The YouTuber reflects on his recent struggles, including being displaced from his home, his cat's health issues, and personal setbacks, leading to a break from content creation. Despite contemplating quitting, he finds renewed motivation through nostalgic projects and plans to revamp his approach, aiming to continue making videos and moving forward positively."
nFB6ETkOz4o,100 LEGO Mystery Buttons but Only One Lets You Escape... ft Unspeakable,2067033,68353,1860,0,"They explore pressing 100 mystery buttons with each press resulting in lego punishments and challenges, including building competitions, messy surprises like salsa and mayonnaise, trivia, and unpredictable consequences, ultimately enduring a chaotic and hilarious ordeal to escape the lego-filled boxes."
9SbuBy562YA,Inside Japan's WORST Hotel Room Feat. @CDawgVA,834150,68925,666,0,"They traveled across Japan, visiting the Akashi Kaikyo Bridge and a treacherous rope bridge in Tokushima, then explored Nagoro Village filled with scarecrow replicas. They ended with a disappointing stay at a moldy hotel in Kochi, opting to sleep in their car instead due to its unhygienic conditions."
n9Ch7nP7suA,I Went Over Speed House And My Brothers Pulled up.... Didnt Go So Well,182683,18504,96,1,"TT and Speed start a Vlog together, but tensions rise when Speed's overprotective brother questions TT's intentions, leading to a heated exchange and misunderstandings about their relationship status."
MJCFqyGDUYw,BIGGEST UPSET OF THE DECADE! 1v1 Basketball Against D'Vontay Friga,514661,39193,3875,0,"Two YouTubers finally meet in Miami for a long-awaited 1v1 basketball game, with trash talk, competitive play, and unexpected outcomes leading to a close and intense match. Despite initial underestimation, the game highlights mutual respect and recognition of each other's skills, ending with plans for a rematch and appreciation for the growth and effort shown."
qG7zAphL2ps,22 SIMPLE LIFE HACKS FOR YOUR LIPS,74582082,190940,74610,1,Unavailable
T7-fPYzJlz8,18 BARBIE DOLL HACKS,45945087,135239,47545,1,Unavailable
dL_okr9m_kQ,23 LIFE HACKS FOR EMBARRASSING MOMENTS,31027578,68723,17877,1,Unavailable
GHOlNsuUM2g,15 UNBELIEVABLY EASY WATERMELON HACKS,26207226,87841,28156,1,Unavailable
_9YMpuLDnwo,42 HOLY GRAIL HACKS THAT WILL SAVE YOU A FORTUNE,282758915,1583612,321574,1,Unavailable
hK_L_v3x0Ks,10 Athletes Who Were Caught Cheating On Live TV,34080150,59592,28972,1,Unavailable
0uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",28304893,1904636,14556,1,Unavailable
ylgjWFf6ssY,The Most Inappropriate Messages in Kids Shows,26007630,102341,31834,1,Unavailable
DRwHvBZIQ4U,CAUGHT GIRLFRIEND CHEATING IN THE ACT! (YOU WONT BELIEVE WHAT HAPPENS),25408065,332176,52082,1,Unavailable
4XnMaufLlEk,BABYSITTING MINI JAKE PAUL!!! GONE WRONG...,24945863,143068,26251,1,Unavailable
yVaMtCi9Xw0,10 Cute Kids Who Aged Horribly,22943937,64582,44316,1,Unavailable
aHPKWjTmDEU,10 Actors Who Turned Into Monsters,21800606,68326,52283,1,Unavailable
6_5XnKvlL5E,10 Most Epic Ways People Have Quit Their Job,12909800,57963,27865,1,Unavailable
prcK6Jt9STQ,10 Shocking CONFESSIONS of UFC Octagon Girls,8002210,29610,8390,1,Unavailable
LCaxzn0geyQ,10 Hidden Pokemon Go SECRETS Finally Revealed!,7586094,56572,15558,1,Unavailable
7Z0qOH9zqoU,10 Richest People Who Now Work Normal Jobs,7453774,26970,8898,1,Unavailable
GDRcCvQNY-g,World's Largest Water Tunnel!,6106336,300841,3120,0,Unavailable
Ubk60jzs2bw,she did this on live TV..,6072966,30336,10668,1,Unavailable
aKkRwPGSWGQ,10 Real Life Giants You Won't Believe Exist,3674544,12116,1570,1,Unavailable
3-U-PUspr50,Little Girl Goes To Heaven While Her Parents Watching (emotional),1973418,193593,6932,1,Unavailable
yoJDlPSB5GU,Reacting to 2019 YouTube Rewind (THEY FINALLY PUT ME IN IT),1549684,83879,26086,1,Unavailable
OsXH5n1EftY,Did you know that for LORD OF WAR...,989354,42855,1053,0,Unavailable
xgxaD2UR3PI,Drake - CERTIFIED LOVER BOY First REACTIONREVIEW,654203,29188,979,0,Unavailable
Y_PQrPRolvM,Real Giants Caught On Camera!,518170,4033,271,1,Unavailable
5WTXHdc1_zI,10 People You Don't Want To Mess With,484411,3881,191,1,Unavailable
raDUPBsszWs,Hermitcraft S8 My Mountain Isn't Big Enough For This... Episode 9,454438,32230,208,0,Unavailable
xDL-cFvzd4Q,The Sims 4 Spa Day Refresh Official Trailer,443639,36923,724,0,Unavailable
RMx_CG2Zk9c,El Salvador vs. USA Extended Highlights CONCACAF World Cup Qualifying CBS Sports Golazo,389762,2862,179,0,Unavailable
RTR9Y9DZNJ4,Mocking up the interior (Rebuilding Tally Ho EP105),319671,28805,121,0,Unavailable
DwoodDN9xNA,Georgia Bulldogs vs. Clemson Tigers Full Game Highlights,177955,1959,56,0,Unavailable
ccqvF4USYxw,Costa Rica vs. Mxico 0-1 Rumbo al Mundial Telemundo Deportes,166483,1276,95,0,Unavailable
SJNZ1PJXxg4,"6 YouTubers WHO ALMOST DIED ON CAMERA! (MrBeast, KSI, Sidemen, Tfue)",98545,1055,754,1,Unavailable
bas_0jmmgI8,"My plane is going down, goodbye..",92660,9790,531,1,Unavailable
C7QwaapFRQs,Meeting MrBeast In Person (Very Rude),89625,2907,3345,1,Unavailable
ck1EQ-vmmc4,he fell off then died..,54361,4818,546,1,Unavailable
t889ifadAMo,"5 YouTubers That Got MAD AT VIEWERS! (SSundee, MrBeast, Preston, Jelly)",34352,1404,463,1,Unavailable
pKg8GJ7dIug,"kid calls 911 for fun, goes very wrong..",33525,1335,119,1,Unavailable
DPCeF7ifQJU,my girlfriend forgot to end her stream..,29131,1210,263,1,Unavailable
spjY7VnFrnM,kid shoots dad after he takes PS5..,29079,2177,368,1,Unavailable
hfFGTVZNjis,MrBeast HATES Chandler after this..,17166,1207,554,1,Unavailable
XFlBwuu_p6k,they both died on this roller coaster..,14990,630,172,1,Unavailable
QwqiXWkKpbw,real prison escape caught on camera..,8090,516,78,1,Unavailable
oqq5aXBg3FU,i shouldn't have let him do this..,7140,430,66,1,Unavailable
kgv9fMcjINc,I WAS POSSESSED (ACTUAL FOOTAGE),6163215,137208,34510,1,"Various daily incidents and conversations, including strange occurrences like a falling poster, unexplained scratches, and eerie noises at night, mixed with casual banter and interactions among friends."
xQQa_pif6uc,UNIQUE THINGS You Have to SEE TO BELIEVE,17865,2106,22,1,"Various fascinating and bizarre phenomena, including unusual pranks, innovative technologies, mind-boggling tricks, and funny or surprising animal behavior. Highlights include airless tires, a unique way to open chips, a vertical race, a coyote and badger hunting together, and a mind-reading trick. The video ends with a reminder to stay awesome and be kind."
q9fcaHciF_o,Amazing Mind-Bending Optical Illusions,10539767,41103,3749,1,"various mind-bending optical illusions, including a spinning train, floating star, celebrity monsters, and imaginary dots, all of which manipulate perception and trick the brain into seeing things that aren't there."
8xaMdOIsGLE,You won't believe these CRAZY SIGHTINGS! (Can't Unsee This),16269467,380222,9096,1,"various photos with hidden creepy or paranormal elements, prompting humorous reactions and commentary from the narrator."
BAp1m2Iw-FI,Only KIDS Can Hear This Sound..,37139,2053,77,1,"Various unique abilities that many kids have but most adults don't, such as licking their nose, hearing high-frequency sounds, drinking and eating quickly, licking their elbow, doing tongue tricks, and turning their feet backwards. It also includes a bonus clip of kids solving Rubik's cubes exceptionally fast."
ld0xulQ8NU8,Unboxing Samsung's Mind Bending New Display...,1002665,40521,1709,0,"Will introduces Lew to high-end gaming setups at Unbox Therapy, moving from casual gaming on a 20-inch iMac to experiencing a 49-inch Samsung Odyssey Neo G9 monitor with 240Hz refresh rate, RTX graphics, mechanical keyboard, and gaming mouse, significantly enhancing his gaming immersion and performance."
K5Qq2cKgd-A,"5 SCARIEST THINGS YouTubers Caught On Camera! (DanTDM, Morgz, MrBeast, Guava Juice)",69836,5045,367,1,"YouTuber Adventure showcases five of the scariest moments captured by various YouTubers, including Rubsy experiencing paranormal activity in a friend's apartment, Morgz and his mom being terrorized by a masked intruder, DanTDM exploring an eerie abandoned park, and Guava Juice using spirit rods to detect ghosts in his supposedly haunted house. Each story builds suspense with mysterious and frightening events that kept the YouTubers and their audiences on edge."
79WVTJBNsn8,Faces REVEALED for ALL Fortnite Battlepass skins! (Season 1 - 11),5843805,118207,4748,1,YouTuber tries to reveal what's under various Fortnite skins' helmets across different seasons.